c1, l2, t1, z7, f0, s2, o0, b0 - Nov-17
c1, z7, s2, l2, t2, f0, o0, b0 - Aug-26
t4, z3, b0, s2, f0, l2, o0, c1 - Feb-26
c1, l2, s2, t5, z3, f0, b0, o0 - Aug-28
c1, l2, t1, z3, s1, f0, b0, o1 - Nov-28
f0, c1, z5, t1, s1, l2, b0, o1 - Aug-15
f0, l2, c1, b0, s1, t7, z4, o1 - Jun-28
f0, z5, c1, t2, l2, s2, b0, o1 - Nov-31
c1, t2, s2, z7, f0, l2, b0, o1 - Nov-1
o0, t2, c1, z1, s0, f0, l3, b0 - Nov-17
b0, t2, c1, z3, s0, f0, l3, o0 - Feb-25
o0, c1, l3, s1, t0, f0, b0, z0 - Oct-20
f0, t1, s2, z3, c1, b0, o0, l3 - Mar-23
f0, c1, t2, b0, s2, z1, l3, o0 - Oct-25
o0, t2, c1, z6, f0, s3, l3, b0 - Nov-17
f0, c1, l3, b0, t6, z6, o0, s3 - Oct-27
c1, o1, t5, z1, s0, f0, l3, b0 - Aug-17
o1, c1, t5, z1, s0, f0, l3, b0 - Nov-17
f0, z6, c1, l3, b0, s3, t1, o1 - Jun-5
f0, z6, c1, l3, s3, b0, t1, o1 - Jun-5
f0, z6, o1, l3, b0, s3, t1, c1 - Jun-30
f0, z6, o1, l3, s3, b0, t1, c1 - Jun-30
c1, o1, z2, t3, f0, s3, l3, b0 - Aug-17
o1, c1, z2, t3, f0, s3, l3, b0 - Nov-17
c1, o1, t5, z6, f0, s3, l3, b0 - Aug-17
o1, c1, t5, z6, f0, s3, l3, b0 - Nov-17
f1, s2, b0, z0, c1, o0, l0, t1 - Nov-16
f1, b0, z2, l0, s1, c1, t1, o1 - Jun-7
c1, b0, s2, o1, f1, l0, z6, t1 - Aug-16
f1, b0, s2, z7, l0, c1, t1, o1 - Jun-7
l1, c1, s0, f1, z3, t0, o0, b0 - Nov-28
f1, b0, l1, c1, s3, t4, o0, z4 - Jun-28
l1, c1, s0, z6, t0, b0, f1, o1 - Nov-3
f1, b0, l1, c1, s3, t1, z4, o1 - Jun-28
l2, c1, z1, s1, t1, b0, f1, o1 - Jul-25
t4, z3, c1, s1, l2, b0, f1, o1 - Feb-4
t4, c1, z5, s3, l2, b0, f1, o1 - Feb-5
o0, z2, s0, f1, b0, c1, l3, t7 - Jun-21
z5, c1, t4, b0, s0, l3, f1, o1 - Jun-8
f1, s2, o1, z4, b0, c1, l3, t1 - Nov-18
t2, o1, b0, z1, s1, f2, l0, c1 - Jun-25
t2, c1, b0, z3, s1, f2, l0, o1 - Jun-23
z7, t3, c1, l0, b0, f2, s2, o1 - Jun-3
s2, c1, z5, t6, l0, f2, b0, o1 - Jul-9
c1, b0, f2, s3, t1, o0, l1, z4 - May-28
o1, l1, t0, c1, f2, z4, b0, s3 - Nov-9
c1, l2, z7, t4, b0, f2, s0, o1 - Nov-20
z2, s0, o0, t6, l3, f2, b0, c1 - Apr-30
t4, z0, s2, f2, c1, b0, o0, l3 - Apr-15
s2, c1, z5, t6, f2, o0, b0, l3 - Jul-1
b0, t3, z2, s3, l3, f2, o0, c1 - Jun-30
c1, o1, t3, z1, s0, b0, f2, l3 - Aug-29
o1, c1, t3, z1, s0, b0, f2, l3 - Nov-29
z5, c1, s0, t6, l3, f2, b0, o1 - Sep-8
s2, c1, l3, z5, f2, t2, o1, b0 - Oct-26
s2, c1, z5, t2, l3, f2, b0, o1 - Oct-10
t2, s2, c1, z7, f2, o1, l3, b0 - Aug-31
t2, c1, l3, f2, z3, o1, b0, s3 - Sep-28
c1, o1, t3, z4, f2, b0, s3, l3 - Aug-26
o1, c1, t3, z4, f2, b0, s3, l3 - Nov-26
c1, o1, t3, z6, b0, f2, s3, l3 - Aug-29
o1, c1, t3, z6, b0, f2, s3, l3 - Nov-29
o1, l3, b0, t4, f2, z1, c1, s3 - Jun-29
c1, o1, z0, t5, f2, b0, s3, l3 - Aug-26
o1, c1, z0, t5, f2, b0, s3, l3 - Nov-26
b0, s2, c1, o1, t5, l0, f3, z2 - Nov-21
l1, z6, b0, s3, f3, c1, t1, o1 - Nov-7
s1, l2, b0, z0, f3, c1, t1, o1 - Jun-7
z5, l2, b0, s2, f3, c1, t1, o1 - Jun-7
f3, t5, s3, c1, z7, l2, b0, o1 - Feb-7
t3, z4, f3, c1, o0, s2, b0, l3 - Dec-19
z0, t5, f3, c1, o0, s2, b0, l3 - Dec-19
z1, c1, t2, b0, s0, f3, l3, o1 - Jan-25
z5, c1, t4, b0, s0, f3, l3, o1 - Jun-25
c1, z7, t2, s1, b0, f3, l3, o1 - May-25
t3, s2, o1, z0, b0, c1, l3, f3 - Jul-20
z2, o0, s2, l0, f4, t0, b0, c1 - Apr-30
t2, c1, s0, l0, f4, z7, b0, o1 - Dec-13
t3, s2, f4, l0, c1, z7, b0, o1 - Jul-25
o0, c1, z5, t1, f4, b0, l1, s3 - Oct-31
t3, z4, b0, l1, f4, c1, o0, s3 - Dec-27
z0, t5, b0, l1, f4, c1, o0, s3 - Dec-27
l1, c1, t6, s3, f4, z1, o0, b0 - Sep-25
l1, c1, t6, s3, f4, z3, o0, b0 - Sep-17
l1, c1, s0, z0, f4, t0, b0, o1 - Nov-5
l1, f4, c1, b0, s3, t1, z4, o1 - Jun-28
c1, b0, f4, l2, t6, o0, s2, z4 - Aug-18
t2, c1, s0, z3, f4, l2, b0, o1 - Dec-31
t2, c1, l3, z5, f4, b0, s2, o0 - Sep-21
t2, c1, s2, z7, b0, f4, l3, o0 - Nov-25
c1, f4, z5, t7, o0, s2, b0, l3 - Oct-19
b0, t3, z1, f4, s0, c1, l3, o1 - Oct-16
b0, t3, z1, f4, s0, o1, l3, c1 - Oct-30
b0, t5, z1, f4, s0, c1, l3, o1 - Sep-16
b0, t5, z1, f4, s0, o1, l3, c1 - Sep-30
z5, s2, o1, t1, f4, b0, l3, c1 - Aug-26
z7, s2, c1, t1, f4, b0, l3, o1 - Nov-1
t2, s2, c1, l3, f4, z7, b0, o1 - Aug-13
b0, t3, z1, s2, f4, c1, l3, o1 - Oct-16
b0, t3, z1, s2, f4, o1, l3, c1 - Oct-30
b0, t5, z1, s2, f4, c1, l3, o1 - Sep-16
b0, t5, z1, s2, f4, o1, l3, c1 - Sep-30
b0, t2, c1, s1, f6, l0, z6, o1 - Feb-31
l0, s1, z2, c1, f6, o1, b0, t3 - Jun-19
z1, f6, b0, s2, l0, c1, t1, o1 - Jan-15
c1, z5, t0, s3, b0, f6, l0, o1 - May-31
l0, z6, s3, c1, f6, o1, b0, t3 - Feb-19
l0, c1, t6, z5, f6, o1, b0, s3 - Sep-23
f6, c1, s0, b0, z0, o0, l1, t1 - Sep-21
f6, b0, c1, s1, t7, o0, l1, z4 - Mar-28
c1, l1, t1, z1, f6, b0, s2, o0 - Nov-31
f6, o0, c1, l1, s3, t0, b0, z4 - Nov-28
f6, o0, c1, l1, t0, s3, b0, z4 - Nov-23
f6, o0, c1, l1, t0, s3, b0, z6 - Nov-31
l1, c1, f6, z5, t3, o0, b0, s3 - Nov-8
f6, t3, z7, l1, c1, b0, o0, s3 - Jun-18
l1, c1, t6, f6, z6, o0, b0, s3 - Nov-4
l1, c1, b0, t7, f6, z4, o0, s3 - Sep-23
c1, l2, t1, b0, f6, z5, s1, o0 - Nov-25
c1, l2, t1, z7, f6, b0, s2, o0 - Nov-31
l2, b0, s2, z7, f6, c1, o0, t1 - Aug-31
l2, b0, s2, z7, f6, c1, o0, t3 - Aug-18
o0, b0, l2, s3, t0, f6, z5, c1 - Nov-26
f6, c1, o0, l2, t0, s3, b0, z6 - Sep-31
z2, l2, f6, b0, s0, c1, t1, o1 - Nov-7
c1, l2, z7, f6, b0, s1, t1, o1 - Nov-7
o1, l2, f6, c1, s1, z7, b0, t1 - Nov-7
l2, c1, s3, b0, t0, f6, z5, o1 - Jul-17
l2, c1, s3, b0, t0, f6, z7, o1 - Jul-23
z5, c1, o0, s0, t0, f6, l3, b0 - Sep-31
o0, t2, c1, z1, s0, f6, b0, l3 - Nov-31
c1, s0, z3, t2, f6, b0, o0, l3 - Nov-7
